id,slug,type,title,content,excerpt,is_published,user_id,tags,read_time,created_at,updated_at,published_at,image_url,view_count
2,,Deportes,Argentina dio vuelta un partidazo y le ganó 3-2 a Finlandia por el debut del Mundial de vóley,"Argentina debutó en el Mundial de vóley con una remontada histórica: tras ir 0-2 contra Finlandia, ganó 3-2 con parciales 19-25, 18-25, 25-22, 25-22 y 15-11 en 2h30, primer tie-break del torneo. Sin jugar bien, pero con carácter, logró por primera vez dar vuelta un 0-2 en un Mundial.  Marcelo Méndez sorprendió con Matías Sánchez como armador y De Cecco al banco, completando con Kukartsev, Loser, Gallego, Palonsky, Vicentín y Danani. El inicio fue errático, con bloqueo finlandés implacable (5-0 en el primer set). Los europeos dominaron saque y defensa, y se llevaron los dos primeros parciales casi sin oposición.  En el tercero, Méndez devolvió a De Cecco y el equipo mostró otra cara: más defensa, presión desde el saque y puntos claves de Palonsky y Kukartsev. Argentina ganó confianza, sostuvo la presión y forzó el tie-break.  En el quinto, los errores de Marttila y el ingreso decisivo de Martínez (bloqueo y ace vital) inclinaron la balanza. Finlandia se desmoronó en el cierre y Argentina selló el 15-11. Fue un triunfo trabajado, irregular en el juego pero enorme en carácter, que sirve para creer de cara al choque contra Corea.  Formación inicial: Sánchez, Kukartsev, Loser, Gallego, Vicentín, Palonsky y Danani. Ingresaron De Cecco, Gómez, Martínez, Armoa, Zerba y Giraudo.","Pese a que arrancó 0-2 en sets y desdibujada, la Selección lo pudo ganar con el ingreso clave de Martínez y mejoras varias. Ahora se viene Corea para pensar en los octavos de final.",true,1,"argentina, mundial, remontada, mendez",,2025-09-15T13:58:30.509061,2025-09-15T22:34:58.640416,2025-09-15T13:58:30.508436,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757944710/publications/jwccsrisdzof2ncnir81.jpg,1
4,,Cultura,"🚶‍♂️✨ Camino del Peregrino: fe, tradición y comunidad en movimiento ✨🚶‍♀️","El domingo, desde las primeras horas, cientos de fieles emprendieron la caminata por el Camino del Peregrino, partiendo desde Giulio Cesare y llegando al Santuario del Cura Brochero. Cada paso estuvo cargado de oraciones, intenciones y agradecimientos, en una experiencia única que combina espiritualidad, tradición, naturaleza y cultura.  La gran novedad de este año fue el Primer Encuentro de Peregrinos, realizado el sábado, con la Misa del Peregrino, espectáculos artísticos y momentos de preparación espiritual que reforzaron el sentido comunitario de la experiencia.  Pero la peregrinación no solo dejó huella en lo religioso: también impactó en la economía local, impulsando hotelería, gastronomía y comercios. A la vez, la articulación entre instituciones, municipios, fuerzas de seguridad, vecinos y voluntarios garantizó un evento seguro, organizado y hospitalario.  El presidente de la Agencia Córdoba Turismo, Darío Capitani, lo resumió con claridad: “El Santo Brochero no solo representa un ejemplo de fe y compromiso social, sino también un motor para el turismo religioso, que moviliza a miles de personas y posiciona a Córdoba como un destino espiritual único en el país”.  La actividad fue organizada por la Diócesis de Cruz del Eje, el Santuario del Cura Brochero y la Municipalidad de Villa Cura Brochero, con el acompañamiento del Gobierno de Córdoba a través de la Agencia Córdoba Turismo.","El evento, que ya se ha consolidado como uno de los encuentros de fe más importantes del país, reafirma a Villa Cura Brochero como un destino central del turismo religioso en Córdoba.",true,2,"misa, peregrinos, religion, caminata, cura brochero, santo brochero",,2025-09-15T16:39:23.094835,2025-09-15T17:04:13.369125,2025-09-15T16:39:23.094096,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757954363/publications/b7hixjbcdnjdhnusuvob.jpg,1
3,,Cultura,BanZaiShow - MC - Esta de vuelta !!,"🌸🎶 Vuelve BanZaiShow – MC 🎶🌸 Después del parate de marzo, este Sábado 20 de septiembre reabrimos el escenario con todo: llega la banda de Carlos Flores para ponerle música, energía y fiesta al arranque de la primavera. 🌺🔥  Es el regreso que estabas esperando: un show que mezcla la potencia de la banda en vivo, el espíritu de BanZai y la promesa de una temporada de verano que arranca a pura música y diversión.  📍 Lugar: Poeta Lugones 1443 - a metros de la calle San Martín - Mina Clavero - 🕘 Hora: 23 🎟️ Entrada: llamanos al +54 351 202 6579   👉 Vení con tus amigos, preparate para cantar, bailar y ser parte de este renacer. BanZaiShow – MC vuelve y lo hace a lo grande.",- Volvimos !!! y queremos festejarlos con todo ... !,true,1,"Entretenimiento, diversión, noche, mina clavero, baile, carlos flores",,2025-09-15T16:23:12.889797,2025-09-21T16:08:21.014882,2025-09-15T16:23:12.888177,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757953393/publications/pzwru665yxneqmatr1xt.jpg,39
1,,Análisis,A cuánto cerró el dólar blue este viernes 12 de septiembre,"El dólar blue hoy viernes 12 de septiembre de 2025, cerró de la siguiente manera para esta jornada cambiaria.  A cuánto cotiza el dólar Blue El dólar paralelo cotiza con un valor en el mercado de $1405,00 para la compra y $1425,00 para la venta.  A cuánto cotiza el dólar Oficial Según la pizarra del Banco de la Nación Argentina (BNA), este viernes 12 de septiembre cerró en $1390,00 para la compra y $1440,00 para la venta.  A cuánto cotiza el dólar MEP El dólar MEP, también conocido como dólar bolsa, cerró en $1415,00 para la compra, $1465,00 para la venta.  A cuánto cotiza el dólar contado con liquidación El dólar contado con liquidación (CCL) cerró en las pizarras a $1460,70 para la compra y $1462,00 para la venta.  A cuánto cotiza el dólar cripto A través de las operaciones con criptomonedas, el dólar cripto cotiza en $1464,12  ​para la compra, y en $1468,27 para la venta.  A cuánto cotiza el dólar tarjeta El tipo de cambio, al cual se debe convertir el monto en dólares que nos llega en el resumen de nuestra tarjeta, opera hoy en $1904,50.  Los consumos en moneda extranjera pueden ser por utilización de productos digitales, plataformas de streaming o compras en el exterior.  Riesgo País El riesgo país es un indicador elaborado por el JP Morgan que mide la diferencia que pagan los bonos del Tesoro de Estados Unidos contra las del resto de los países.  Este jueves 11 de septiembre dicho índice ubicó al riesgo país en 1070 puntos básicos.","Conocé como cerró en el mercado la divisa norteamericana el viernes, 12 de septiembre del 2025",true,1,,,2025-09-15T13:51:02.402106,2025-09-15T21:32:17.354441,2025-09-15T13:51:02.399277,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1757944263/publications/xqhq07yrseavad3dxg57.png,2
6,,Educativo,🌾 Conferencia sobre Condiciones Climáticas – Campaña 2025-2026 🌦,"🌾 Conferencia sobre Condiciones Climáticas – Campaña 2025-2026 🌦 📅 19 de septiembre – 18:00 hs 📍 Consorcio Caminero N°151, Alto Grande  🎙 Disertante: Rafael Di Marco 🎟 Entradas: $20.000 general | $15.000 socios (Cupos limitados)  Adquirí tu entrada completando el formulario   https://docs.google.com/forms/d/e/1FAIpQLSfUbhNYh57IN4HQZKiBOUhYFTHaBNdfAdmhr1Q1Bsbtl6kAMg/viewform?usp=header   👉 Reservá tu lugar al 3544-410592","Expertos y productores analizarán cómo las variaciones climáticas afectarán la campaña 2025-2026: lluvias, sequías, plagas y su impacto en rindes, costos y logística. Se discutirán modelos predictivos, estrategias de adaptación, manejo de suelo, seguros agrícolas y políticas públicas para mitigar riesgos y mejorar la resiliencia del sector agropecuario. Prácticas sostenibles.",true,1,"#Clima, #Agro2025, #CampañaAgrícola,  #SustentabilidadRural,  #ProductoresEnAcción",,2025-09-17T11:47:32.627416,2025-09-17T11:47:49.535005,2025-09-17T11:47:32.626069,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758109653/publications/kv2gsszf7uyeulfkxidl.jpg,1
5,,Deportes,Argentina 3 - Korea 1 ! Con un pie en segunda ronda.,"En su segunda presentación del Grupo C del Mundial, la Selección masculina dirigida por Marcelo Méndez superó a Corea del Sur por 3-1 y quedó muy cerca de la segunda ronda.  El arranque fue parejo, con un rival que mostró mejorías pero nunca logró incomodar en serio. La diferencia estuvo en los momentos clave: el ingreso de Nico Zerba (2,04 m) dio aire con un pasaje de 3-0, y los bloqueos de Pablo Kukartsev y los puntos de Luciano Vicentín inclinaron la balanza.  El tercer set fue todo celeste y blanco: variantes, solidez y un Kukartsev imparable con 21 puntos y 3 bloqueos. Con esa contundencia, Argentina cerró un 25-18 que sentenció la historia y dejó al equipo con la confianza a tope para lo que viene.","El seleccionado nacional masculino, dirigido por Marcelo Méndez, le ganó por 3-1 a Corea del Sur, que disputan su segunda presentación por el Grupo D del Mundial que se celebra en Filipinas. Pablo Kukartsev fue el máximo anotador con 21 puntos.",true,1,"seleccion argentina, voley, mundial, segunda ronda, korea",,2025-09-16T11:56:02.478456,2025-09-16T15:04:24.177555,2025-09-16T11:56:02.444156,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758023763/publications/jjkt9iyvnkopl5uyhwi8.jpg,2
7,,Tecnología,"Marina Hasson: “La incorporación de la IA en las pymes es un camino, no es prender y apagar la luz”","La inteligencia artificial (IA) dejó de ser promesa y ya persigue a empresas de todos los tamaños. Según Marina Hasson, directora de pymes en Microsoft para Latam, su adopción es un camino, no una receta lista: se ajusta a cada realidad y a lo que muestre mejor retorno.  El estudio 2025 de Microsoft/Edelman muestra que, en Argentina, la importancia de la IA para las pymes se cuadruplicó en un año, pasando del 7% al 30%, sobre todo en medianas. Los principales desafíos: reducir costos, ganar clientes y aumentar ventas.  Hasson identifica cuatro ejes estratégicos: experiencia de empleados (retener talento), interacción con clientes (mejor servicio), automatización de procesos y espacio para la innovación. Todo con seguridad como base crítica: proteger datos, dispositivos e identidades.  Hoy existe un fenómeno de “traer tu propia IA”, lo que obliga a uniformidad y gobernanza interna. La clave, dice Hasson, es la cultura organizacional y un liderazgo fuerte que impulse la adopción, con apoyo de Tecnología y Recursos Humanos.  El estudio revela que el 54% de las pymes ya tiene estrategia de IA, y 82% ve con optimismo su uso, aunque el 49% admite que necesita cambios culturales. Además, el 58% ya usa alguna IA, y 83% planea invertir en 2025.  Motivos: en microempresas, la prioridad es costos y continuidad; en medianas, competencia, eficiencia e innovación. Las aplicaciones más comunes son: atención al cliente virtual, búsquedas de información y marketing con IA generativa.  En síntesis: la adopción avanza a distintas velocidades, pero las oportunidades para pymes están en mejorar la experiencia laboral, el servicio al cliente, la eficiencia de procesos y el valor agregado en productos o servicios.","La número uno del segmento de pymes de Microsoft para la región, destaca que en un año se cuadriplicó la importancia de proyectos con la nueva tecnología en la Argentina",true,2,"IA, Tecnología, PYMES, Empresas, oportunidades",,2025-09-18T11:53:24.968108,2025-09-18T11:53:26.373209,2025-09-18T11:53:24.964108,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758196405/publications/ntv2dgjrmbrumh65pilz.png,0
9,,Tecnología,Qué sectores lideran la implementación de la inteligencia artificial en Argentina,"La inteligencia artificial convirtió en un factor clave para la transformación digital de las empresas en Argentina. De acuerdo a un estudio de International Data Corporation (IDC), la inversión en tecnologías de IA en América Latina alcanzará los $3,400 millones en 2025, y en el país. Estas industrias están aprovechando la IA para personalizar servicios y mejorar la experiencia del cliente, marcando el camino hacia un uso más sofisticado de los datos.   Los usuarios demandan servicios más personalizados, y el análisis de datos históricos y preferencias permite a las empresas ofrecer soluciones a medida. Esto es posible gracias a la implementación de tecnologías de IA que explotan la información de manera eficiente.  Aunque la adopción de IA crece de manera sostenida, algunos sectores enfrentan desafíos significativos. Entre ellos, se destaca el sector salud que es uno de los que enfrentan más retos debido a preocupaciones sobre la seguridad y privacidad de los datos. El manejo de datos sensibles genera dudas, especialmente en tecnologías emergentes. Sin embargo, estas preocupaciones representan oportunidades para desarrollar soluciones más seguras y eficientes. El sector agrícola también está comenzando a explorar el uso de IA en decisiones ambientales y monitoreo climatológico, mostrando un gran potencial de crecimiento.  Las soluciones más buscadas incluyen chatbots avanzados, análisis predictivo y herramientas para ciberseguridad. Las nuevas versiones de chatbots, ahora más inteligentes, están siendo ampliamente adoptadas, especialmente en áreas operativas y de atención al cliente. Además, las empresas están aprovechando la IA para predicción y mantenimiento en plantas de operaciones, así como para fortalecer sus estrategias de ciberseguridad.  Aunque la implementación de IA no está exenta de retos. Para que la IA funcione correctamente, es crucial tener una estrategia de datos estructurada. Esto implica contar con fuentes de datos confiables y consistentes, integrar datos estructurados y no estructurados, y construir un Data Lake que permita explotar la información de manera efectiva. Además, proteger estos datos y minimizar vulnerabilidades sigue siendo un desafío clave para las organizaciones.  La inteligencia artificial se convirtió en un tema estratégico en las discusiones a nivel directivo. La resistencia a esta tecnología ha disminuido considerablemente. Las empresas saben que la IA no reemplazará a las personas, sino que empodera a quienes sepan utilizarla. Esto está redefiniendo la competitividad empresarial. Según sus estimaciones, para 2030, un alto porcentaje de compañías en la región contará con al menos un proyecto significativo basado en IA. ...  Lee la nota completa aca : https://www.ambito.com/opiniones/que-sectores-lideran-la-implementacion-la-inteligencia-artificial-argentina-n6186668","Según una investigación de International Data Corporation (IDC) la inversión en tecnologías de IA en América Latina alcanzará los $3,400 millones en 2025, y en el país.",true,2,"IA, Tecnología, PYMES, Empresas, oportunidades, datos",,2025-09-18T13:21:54.611646,2025-09-18T13:21:55.800841,2025-09-18T13:21:54.611052,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758201715/publications/zp4zrvl6ao62bp9g6dxv.png,0
8,,Tecnología,Conuar fabricará componentes para un prototipo de micro reactor nuclear que se construirá en EE.UU.,"La empresa Combustibles Nucleares Argentina (Conuar) podría fabricar componentes para un micro reactor atómico diseñado por una firma europea. La compañía, que es controlada por el grupo Perez Companc y tiene a la Comisión Nacional de Energía Atómica (CNEA) como accionista minoritario, firmó en Viena un acuerdo con la firma Terra Innovatum que involucra al reactor micromodular SOLO, según pudo saber EconoJournal. El acuerdo también abre la puerta a establecer en la Argentina un hub de ensamblaje y cadena de valor para Latinoamérica relacionado con este reactor.  El convenio suscrito establece que Conuar diseñará y fabricará componentes críticos para el SOLO Micro-Modular Reactor (MMR) de Terra Innovatum, una compañía europea enfocada en el desarrollo de soluciones nucleares innovadoras.  El CEO de CONUAR, Rodolfo Kramer, celebró la firma del convenio. “Este acuerdo representa una oportunidad única para demostrar cómo la capacidad industrial argentina puede integrarse a proyectos internacionales de vanguardia. En Conuar nos sentimos orgullosos de aportar nuestra experiencia y know-how para hacer realidad un diseño que promete energía limpia y accesible para futuras generaciones”, dijo.  Lee la nota completa acá : https://econojournal.com.ar/2025/09/conuar-fabricara-componentes-para-un-prototipo-de-micro-reactor-nuclear-que-se-construira-en-ee-uu/","La empresa Conuar, controlada por el grupo Perez Companc, rubricó esta semana un acuerdo con la firma europea Terra Innovatum para fabricar componentes críticos del reactor micro modular SOLO. Terra Innovatum comenzó a tramitar el licenciamiento para la construcción de una primera unidad prototipo en los Estados Unidos.",true,2,"Tecnología, energía nuclear, energía, Argentina",,2025-09-18T12:17:15.030874,2025-09-30T12:11:25.137987,2025-09-18T12:17:15.030195,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758197835/publications/x7178mz11xkzbz58uae3.jpg,6
10,,Deportes,𝗣𝗥𝗜𝗠𝗘𝗥𝗢 𝗔𝗥𝗚𝗘𝗡𝗧𝗜𝗡𝗔 𝗖𝗟𝗔𝗦𝗜𝗙𝗜𝗖𝗔𝗗𝗔 !! ... Segundo 𝗙𝗥𝗔𝗡𝗖𝗜𝗔.,"Argentina dio un tremendo golpe en el Mundial de vóleibol: eliminó a Francia y se clasificó a los octavos de final. Se impuso por 3-2 para dejar afuera del torneo al bicampeón olímpico.  La selección argentina de vóleibol dio un gran golpe contra Francia, porque consiguió el pasaporte para los octavos de final del Mundial, en el cierre del Grupo C, y eliminó al bicampeón olímpico. El conjunto de Marcelo Méndez se impuso por 3-2 (28-26, 25-23, 21-25, 20-25 y 15-12), en el tie break con una tarea impresionante en el ataque de Luciano Vicentín (22 puntos) y de Luciano Palonsky (17). Ahora el conjunto nacional espera rival que será el segundo del Grupo F (que podría ser Italia o Ucrania).  La victoria de la Argentina resonó en todo el estadio en el Coliseo Smart Araneta de Quenzon City, Filipinas, pero uno de los momentos más particulares se dio cuando el entrenador de Francia, Andrea Giani, que interrumpió el festejo del conjunto de Marcelo Méndez, al parecer, para advertir algún comportamiento que le pareció desmedido. Los jugadores argentinos lo escucharon con respeto, aunque no dejó de ser una acción, al menos curiosa, porque sus jugadores, durante el partido, también entraron en el juego de las provocaciones.  Lee la nota completa acá : https://www.lanacion.com.ar/deportes/voley/argentina-vs-francia-por-un-lugar-en-los-octavos-de-final-del-mundial-de-voleibol-en-vivo-nid18092025/",VAMOS ARGENTINA CARAJO,true,2,#VAMOSARGENTINA #VamosLosPibes #mundial #WorldChampionship #voley #volei #voleibol,,2025-09-18T13:32:36.155961,2025-09-18T22:40:14.309235,2025-09-18T13:32:36.155310,https://res.cloudinary.com/dxpxsv7ui/image/upload/v1758202356/publications/v4vftyh7pawosa8er56m.png,14
